n,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000,48000,49000,50000,51000,52000,53000,54000,55000,56000,57000,58000,59000,60000,61000,62000,63000,64000,65000,66000,67000,68000,69000,70000,71000,72000,73000,74000,75000,76000,77000,78000,79000,80000,81000,82000,83000,84000,85000,86000,87000,88000,89000,90000,91000,92000,93000,94000,95000,96000,97000,98000,99000,100000,Średnia
Test 1,5649,19228,24799,34855,44833,50741,68133,103012,89031,74507,97267,116367,123194,130576,129653,166418,168691,182513,190653,180322,206757,222448,275460,216035,298404,290303,428235,277907,338145,333543,349423,317344,383278,355830,362855,388648,384346,492391,385943,503814,473480,544748,427087,545833,664969,518696,476482,516681,517631,575122,508793,617401,562288,598142,620322,660264,659839,577962,595057,660416,683375,688482,814584,745766,718581,806696,802723,792339,823253,824637,724249,709071,1027580,804237,1203019,943126,807191,1003390,912963,859152,988942,887394,996175,1014708,863081,1032783,1168463,1196197,1188226,1032340,1126020,897887,1067746,1124803,1407920,1109773,1129400,1023645,1280750,1158524
Test 2,9729,15751,27701,33459,41531,45593,67055,73436,75754,97311,105739,114762,116065,115197,147708,186745,134554,148075,275918,224607,257203,226849,247306,262026,301484,279403,293922,351883,275178,299600,305284,342682,376211,398131,367160,366650,354923,456266,457134,487919,435943,485541,468942,696899,522869,814847,498799,524352,604789,523355,586048,615567,568878,612060,558130,728829,657268,596241,798027,639278,724121,761039,858649,761565,748338,864254,761717,703716,735795,709784,935712,885325,767756,785930,791291,951474,808252,904250,1027211,1164220,968896,920955,894791,935533,1011808,1019092,942665,1071382,1101601,1026922,972346,1012163,1155228,1066717,1530335,1109369,1100751,1044241,1590475,1171247
Test 3,6563,15190,20147,35841,49034,54768,62141,66058,85579,85900,126435,140965,125729,151349,197876,141573,158706,211684,194859,268819,204506,223407,248624,261477,240251,348572,285660,306772,251441,321753,382921,363551,384647,430567,404348,522393,397985,462903,434473,466555,450136,455926,485900,511693,448524,511975,530865,489555,554307,482465,489456,619398,717412,884535,575501,673726,670192,703344,691269,894295,714056,680551,795587,667970,792277,686304,756558,718946,868156,715624,697906,879127,948412,883493,965960,803280,1098021,897569,981566,1048084,902717,967021,1157814,936157,924534,969313,993962,1042451,1235296,1148898,999818,1058536,975155,1197121,1103095,1225705,1052734,1237118,1491440,1281793
Test 4,8980,19760,31808,50891,40151,48912,74178,74108,70581,86050,104749,110005,128015,164099,145284,151033,214761,163030,216292,210029,258561,220726,236218,250682,297708,251301,313666,286376,302452,303378,325153,302061,480568,418474,403556,382121,363107,491524,454999,415094,559415,370078,430345,574824,505159,482764,597759,503224,553878,547520,610262,708717,509599,570177,576800,631248,608696,551721,716109,829811,771805,723395,698556,630781,933145,728325,704193,799988,740952,966781,709221,856290,947401,969519,788108,992998,875751,871943,888149,990033,977258,957486,904646,970147,974301,955285,1035494,1293465,922941,968197,1053780,1096877,1138427,1110491,1029706,1297682,1047817,1125212,1107410,1452873
Test 5,7186,14669,26342,36126,45376,57706,62054,80959,82150,88737,85109,134734,111552,133122,163609,163650,175285,174242,179766,210218,221871,221306,252173,295718,277058,245046,303036,308891,316094,315668,394279,364079,375943,376321,331419,339136,481948,416936,525549,476790,411276,489783,492525,453650,463790,440560,549806,491183,531075,478061,476892,610968,559769,543580,632019,643673,645259,695548,686185,691593,600678,719763,702427,735868,804803,736527,953867,766408,1007990,760318,737542,751436,807640,871919,901656,938133,929052,839701,1085764,827133,863207,1007773,1003284,832187,941409,1045602,1072168,1305185,1027944,998993,1230933,1651036,1296629,1358508,980324,1125057,1527954,1164556,1097197,1056104
Test 6,10154,11878,25591,39542,36839,47653,72919,75550,101128,93062,113370,128304,125523,155417,169791,156280,160846,166864,200800,181554,209263,236306,244062,291480,249585,334376,251493,288374,313384,290078,334989,318888,371254,387426,365674,373481,434379,431585,396303,396984,510609,454019,458997,485150,446730,585188,523944,630521,518559,511634,557015,504215,592934,527065,607565,678601,671041,640527,847890,749544,662159,668042,803565,905464,735183,842681,688099,742788,683964,738557,863076,937121,849511,852066,779313,880751,963052,808693,814585,913319,825605,846847,896784,957565,915426,1044135,878827,1073383,911649,1264044,1077602,997002,1156009,1157725,1050216,1090758,1157402,1222686,1051550,1142716
Test 7,7329,24490,21378,39265,44798,63711,62608,69728,83238,94524,110585,137852,121446,153111,133303,139984,204965,164825,165171,248787,206282,208260,217914,250299,280257,254202,289981,290699,292316,334163,339532,320095,325123,391525,409063,470843,346988,410935,415450,563388,574906,397664,411090,463646,529437,535117,554630,533483,502863,613224,721477,590910,606671,691473,600002,615899,687113,571860,703720,624000,716854,725598,730899,681137,717689,734343,781274,771732,753187,822580,845610,820492,819761,957641,892147,1076806,813777,837885,950686,989640,886134,1337609,913226,940053,1125289,1037038,842564,1093087,1150424,1078413,1020609,1057529,1087029,1034482,1130391,1211201,1125579,1129868,1469700,1411887
Test 8,9171,12846,35955,41023,48641,51044,55498,77390,101657,89961,92272,112337,124511,135816,184224,131882,153995,181658,239919,215727,234301,210320,257786,251915,310730,308229,305903,294014,323987,350254,367281,363733,426367,401094,386238,405182,574645,411540,440130,541546,447654,574463,471898,519744,490947,520816,574419,461688,499860,481746,631136,595607,658828,688208,797268,559725,632324,722104,789138,740918,664591,648299,672919,767141,694980,700064,690057,768457,790348,909764,823696,843595,866005,942269,879898,837987,836233,875714,954147,955232,950531,836200,924548,1032687,911695,1278225,1067897,1030864,1037153,962439,931969,949221,1190871,1085427,1070455,1213785,1186362,1250678,1417666,1314955
Test 9,8832,14533,22878,32300,51417,57853,65200,78701,80082,116216,92458,150918,132496,140694,143443,180399,148628,183652,174022,167812,221004,258164,214645,272893,269339,286258,298771,351619,301445,323310,312113,347561,448684,374689,416090,458150,404216,528483,448548,397842,423416,442163,477283,501168,786000,467399,438888,551221,466468,569342,601244,591578,607067,660849,577619,565520,652555,700294,618234,889700,720555,683591,656332,662092,758886,1380346,675190,777797,779886,766374,801343,908811,937401,1026110,1096057,873716,1001293,960802,1287602,960534,1219332,949826,1147900,952538,1071744,982645,977334,1168341,929320,905549,1023455,1104436,1066029,1093708,1080702,1045779,1104050,1077896,1169144,990932
Test 10,5129,14455,25992,29711,47932,42107,62889,71906,79722,93764,135981,154166,117778,136278,137943,152343,174817,183525,188833,235102,223706,251253,241636,228569,223253,270428,259927,266986,312000,302244,288104,317086,334982,399437,366161,399952,397516,406287,383342,452004,458137,505442,516835,459510,559879,592673,568471,676984,548633,503153,546455,668119,521087,542460,800697,583996,768880,630735,654252,590024,657749,851769,722429,744561,756108,799525,873954,729642,895510,717606,784661,859311,1092923,877439,915468,798197,896701,974003,899883,983259,927906,1016361,1089010,1017513,1032973,928627,1031833,1062552,1271305,994751,1009932,1133843,981124,1024619,1087322,1163467,1089404,1288763,1359252,1224352
Test 11,7076,16379,25664,32040,44495,58133,56465,77740,75371,85161,87506,112702,117995,129968,145335,156976,175485,177638,181468,185825,188098,221684,255051,251694,255135,329866,390545,321614,302914,288518,334129,353804,433033,343287,362984,431586,407220,439349,513545,528647,427061,545241,507490,486411,521420,450187,472671,469986,487246,568792,727806,570941,578409,738507,624861,574277,621019,555961,672429,771011,959552,727037,687129,707722,670595,722880,692615,721431,874352,828929,961857,899034,804509,811930,848157,847347,873181,894068,928477,1042368,1011582,1001748,960704,982253,870631,1143262,1039828,1036075,1178482,996572,1087558,992792,1062762,1142600,1058104,1048855,1251186,1108352,1295621,1105709
Test 12,7374,13908,24976,31118,50366,47646,52805,87319,124340,115640,100177,127280,131444,149096,155265,151970,216136,198759,200546,184359,253171,213561,250986,273030,266145,250111,353159,289203,326542,301530,387773,395858,388301,533629,405694,433362,367260,396721,415437,417251,423613,407269,447222,459395,537362,517988,589647,519263,504600,632155,591702,760360,558927,627300,769171,603315,716868,646717,708262,679724,655093,693289,617874,843292,889883,663038,859647,718013,887819,820823,760521,924743,1104779,918127,842034,1092683,877696,932978,866654,920775,993263,907281,1088952,1006929,943481,1170209,991875,936103,1000888,989495,1066997,1032646,1057560,1051989,1021285,1098522,1262097,1210683,1167260,1270677
Test 13,9225,14984,20952,38622,44548,51276,64123,71007,93350,81621,109227,115331,126267,133168,180761,143136,203059,176223,170076,180544,197002,277955,249640,244319,302022,285867,291011,257384,279179,310613,317338,316021,366788,490893,381013,339611,368915,369905,424927,476599,452070,408244,469135,437633,464623,497801,492231,523973,481384,551262,674522,538191,548477,547295,614073,582401,609675,634203,699725,668396,648121,957646,642000,668622,862177,757458,860438,685424,708373,852890,784686,779117,883211,806455,875049,868092,901082,961678,959935,1053556,979775,982354,1157693,968095,929480,898961,946522,966469,1037612,916872,1171348,1012332,1123551,1045457,1000311,1045353,1149275,1009497,1215671,1168808
Test 14,7013,16008,23223,35487,45031,59643,66329,82613,86503,111542,121847,111198,124637,152206,151608,176078,200927,235442,196624,199747,214598,228868,291325,241509,280889,277205,291035,296846,346338,358186,314558,409332,324486,337221,421307,354226,346060,410617,416747,431602,749410,437073,489798,521290,448255,717870,616616,467467,626066,528208,537596,529443,600550,579514,636084,590355,605599,614902,615920,604810,669317,703979,741920,699178,684017,883423,748674,671939,732886,755844,885217,759135,825910,957747,907948,1192292,946567,1073835,923461,1196851,1001193,1031172,1614197,989117,1041013,854743,902938,936705,973537,1114138,1067556,904458,1410668,1313200,1207539,1114773,1086690,1095965,1291035,1294968
Test 15,6496,14677,20508,34012,44892,51177,65105,75444,96694,86708,115319,109963,135110,149312,129656,159833,163705,181959,227852,217977,255774,259231,220984,242201,365992,278010,265540,293966,370667,290031,350211,323692,347305,385253,543150,394756,383331,392218,472452,399964,464254,495149,452356,500826,586831,491050,482018,573543,682838,487702,662506,606925,621738,529408,710594,631321,683616,687558,770632,753232,629816,766847,705688,672837,727871,725380,771745,721173,828588,740870,809785,850019,1059530,818528,806853,822499,971945,897490,1088004,914708,997249,978036,978106,1139816,998454,1030431,1044138,1202665,978790,1209624,1038141,1247991,1013137,1175388,1051505,1183405,1111005,1124255,1214726,1166140
Test 16,8056,17989,24142,33092,44921,62484,71738,85280,68460,98448,92954,130119,115086,127361,132061,196153,161330,171425,173502,185032,195278,228448,245501,264534,220886,293376,326462,311921,289687,371668,363774,333204,376367,365748,374009,376251,414338,388089,463373,419350,399880,465858,559585,499729,484258,630233,556536,619778,521402,552818,564563,741148,588394,587337,558141,715875,724909,627784,739411,614960,675677,760231,625124,879668,833783,766271,703591,810702,667367,991115,791412,1190476,867648,888909,913559,764868,851038,951012,992248,903103,898104,867043,1062775,1035905,996226,1156290,930114,1109845,970788,1119639,1131335,1516919,1270198,1113638,1008251,1184027,1289286,1151697,1193121,1155590
Test 17,10746,14922,56169,38155,38913,74053,70369,64596,76955,93549,110583,134963,153697,118425,145301,160708,216098,173972,195015,181969,182559,226326,291035,250898,265816,272827,279955,284374,295139,324874,316725,361763,339098,345857,406493,359113,405910,395609,411529,397528,429371,401827,458349,463748,528311,496770,482622,475337,596941,596121,493628,566686,592633,733762,620932,571114,727207,663903,784019,692593,611644,861399,607791,683506,641646,888772,778900,699481,811032,814561,852379,797606,748625,972949,802032,996578,1025398,1020912,846515,960060,837956,873813,1078198,1058100,1118125,910678,996906,1057657,1050234,1104419,1138128,1077197,1144539,1289638,1232027,1118384,1127412,1108745,1509301,1230183
Test 18,7678,16761,28023,34543,43616,55301,50226,110679,76168,95985,121556,119927,124712,120453,157348,155493,163796,179553,208785,266938,229281,253656,259244,236210,248169,272803,378049,301732,317882,357703,363594,380266,343750,333180,363171,334042,351452,374627,365538,393818,457808,509127,458048,495037,509813,557280,545194,546065,549714,528162,498587,565550,647179,560982,689932,702765,621904,645486,783451,613312,668450,588940,779649,954676,725551,778345,738508,834857,814940,898168,816032,739895,775304,1012322,830427,845876,842265,819602,1120330,842783,996563,957963,890264,1121944,1111532,889017,939144,999209,1199057,916045,1190855,1172814,988190,1152158,1030025,1125986,1377901,1284655,1124519,1183247
Test 19,6254,16007,27186,31146,46569,55560,63959,61211,92234,88578,108754,120676,144279,137871,152463,144095,166258,176350,182159,201974,209115,213111,252317,257782,307491,275818,348411,372256,304650,372943,332713,356009,379843,363506,325088,469395,460973,399962,507268,396019,460623,527133,468315,600449,404747,481315,622233,537961,478042,546135,591755,587278,574836,593289,549398,635921,658751,616646,648232,605137,818929,660481,945943,682089,727458,714999,992250,647853,723159,827953,854964,756174,991872,984521,756460,825705,913294,848986,849252,879616,901170,911482,983631,1048734,1001212,971167,987889,1120824,1018461,1091352,1127260,1115500,1013402,1092313,1327374,1089181,1409226,1245340,1337740,1056411
Test 20,7158,14121,27108,35000,50850,67244,66518,78571,119278,104352,103871,129812,128005,140623,165926,143618,187601,198794,195434,200100,225817,238939,193067,261325,223925,297716,325374,286616,333994,323891,267847,323720,407375,332947,337028,376312,491493,385587,388694,427595,441129,417249,454186,499534,462108,519079,558029,523198,514377,602658,650210,597745,563948,622974,626846,630501,717200,592776,720381,892351,846240,812735,704797,704920,817037,775028,708367,1077629,753353,793434,861079,900464,816151,854459,877314,991506,987438,1020821,1092698,879146,945697,812403,809976,907057,1033745,923933,1178819,886337,990212,958846,1018735,1339010,1149064,1123585,1232919,1070111,1313188,1044852,1235000,1172897
Test 21,7713,15374,20153,34368,37413,47549,56302,69184,83812,101642,121624,95304,125328,139766,154189,173579,172410,179614,187784,232768,196575,248180,228111,238939,234804,262329,312925,384881,341535,287844,355043,318107,330773,452561,325307,397391,436745,449594,412403,400697,478141,641703,506759,616111,535244,484915,502452,515712,587846,595343,567316,526553,620918,646298,626945,575174,735117,768509,746447,711393,665706,646582,708151,725710,711192,937099,669638,841614,788918,764883,838009,738096,826612,786694,937180,816479,854361,840247,944883,900713,966247,1038565,1128549,1040160,1073454,872589,1059632,1085070,1158449,959175,1127684,983111,976217,1286820,1056994,1313850,1099539,1487544,1106779,1137992
